model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot,scope
densenet121-res224-all,ignore_uncertain,Pleural Effusion,auprc_ap,0.1635453054289722,0.12810609201914186,0.19696574818974852,500,common_labels
densenet121-res224-all,ignore_uncertain,Pneumonia,auroc,0.6952173392877666,0.6647003694656934,0.7253484500872535,500,common_labels
densenet121-res224-all,ignore_uncertain,Pneumonia,auprc_ap,0.02252479533118221,0.018761109422042673,0.026161431723047898,500,common_labels
densenet121-res224-all,ignore_uncertain,Pneumothorax,auroc,0.7627604619099035,0.6381029841748481,0.8661658933512463,500,common_labels
densenet121-res224-all,ignore_uncertain,Pneumothorax,auprc_ap,0.01201379444923111,0.0024502527443077088,0.03746842318465695,500,common_labels
densenet121-res224-chex,ignore_uncertain,Atelectasis,auroc,0.6382113115082669,0.6234798812021883,0.6540711955930858,500,common_labels
densenet121-res224-chex,ignore_uncertain,Atelectasis,auprc_ap,0.09393873311948821,0.0853218237522798,0.10301046064936935,500,common_labels
densenet121-res224-chex,ignore_uncertain,Cardiomegaly,auroc,0.7336028342272732,0.7162498100394693,0.7486896918843056,500,common_labels
densenet121-res224-chex,ignore_uncertain,Cardiomegaly,auprc_ap,0.13973541154146085,0.12949070029065188,0.15126208873502753,500,common_labels
densenet121-res224-chex,ignore_uncertain,Consolidation,auroc,0.5289801363009742,0.5127880580816722,0.545107360515788,500,common_labels
densenet121-res224-chex,ignore_uncertain,Consolidation,auprc_ap,0.05571651267265624,0.05131306199702615,0.06020410013784426,500,common_labels
densenet121-res224-chex,ignore_uncertain,Edema,auroc,0.7215977375465561,0.4848736338450831,0.917426848223441,500,common_labels
densenet121-res224-chex,ignore_uncertain,Edema,auprc_ap,0.0038097764486620268,0.0006366319420522693,0.011515300714756541,500,common_labels
densenet121-res224-chex,ignore_uncertain,Pleural Effusion,auroc,0.7620476260793456,0.7395358623334141,0.7830700816468412,500,common_labels
densenet121-res224-chex,ignore_uncertain,Pleural Effusion,auprc_ap,0.07366346439344904,0.062249910708497135,0.08617750956569767,500,common_labels
densenet121-res224-chex,ignore_uncertain,Pneumonia,auroc,0.6828053282536297,0.6532264062206707,0.7113482508589727,500,common_labels
densenet121-res224-chex,ignore_uncertain,Pneumonia,auprc_ap,0.024669967906063708,0.018649646090712887,0.03058519319061482,500,common_labels
densenet121-res224-chex,ignore_uncertain,Pneumothorax,auroc,0.6627304335745517,0.5522778138743656,0.7566204112496545,500,common_labels
densenet121-res224-chex,ignore_uncertain,Pneumothorax,auprc_ap,0.0036722150284113964,0.001697696561094032,0.00679888038438561,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Atelectasis,auroc,0.6050778689550063,0.5888192047564822,0.6208053308308755,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Atelectasis,auprc_ap,0.08514926810697014,0.07834333366097569,0.09303043656712517,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Cardiomegaly,auroc,0.7201057901393937,0.7061547284104984,0.7340074731422679,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Cardiomegaly,auprc_ap,0.1346858567355547,0.12100484822788828,0.1506938321679976,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Consolidation,auroc,0.5866753735699021,0.5680769680503959,0.6035171318996586,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Consolidation,auprc_ap,0.06778220114243576,0.062288319965256675,0.07347651719550058,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Edema,auroc,0.6496619476238519,0.44578294577585265,0.8417265976021442,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Edema,auprc_ap,0.0021154517797508238,0.0003675811054358658,0.006234954516231397,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Pleural Effusion,auroc,0.7469263985659543,0.7234541055297874,0.7718994827781465,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Pleural Effusion,auprc_ap,0.06937894190747058,0.05775596362890476,0.0829901987920924,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Pneumonia,auroc,0.6741583564624457,0.6410328844897693,0.7053764287201278,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Pneumonia,auprc_ap,0.02386308242393247,0.01939503745387893,0.029302696220227204,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Pneumothorax,auroc,0.573884548578574,0.4254492700757136,0.7023491619140901,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,Pneumothorax,auprc_ap,0.008355386972674239,0.0014238918261725393,0.026209094060882336,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Atelectasis,auroc,0.622876539679675,0.6044499239832063,0.63786519556169,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Atelectasis,auprc_ap,0.09050640561379208,0.0816430888113289,0.09888560295981079,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,Cardiomegaly,auroc,0.7324364070482671,0.7198587387188807,0.7448697311041506,500,common_labels
