model,policy,label,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin,degenerate,in_common_set
densenet121-res224-mimic_nb,ignore_uncertain,Pneumonia,18424,240,18184,0.013026487190620929,0.6747269806789853,0.023420560190362805,0.22729904227728098,0.44513756903424345,False,True
densenet121-res224-mimic_nb,ignore_uncertain,Atelectasis,18424,1217,17207,0.06605514546244029,0.6057966940228363,0.08506031903195516,0.2957403057295914,0.39913031415907074,False,True
densenet121-res224-mimic_nb,ignore_uncertain,Pneumothorax,18424,32,18392,0.0017368649587494573,0.5775693915832971,0.006471304921710186,0.18038242858669634,0.36214317257529877,False,True
densenet121-res224-mimic_nb,ignore_uncertain,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7484708649987868,0.06894626749301706,0.26056482477901693,0.3680874932528486,False,True
densenet121-res224-mimic_nb,ignore_uncertain,Fracture,18424,239,18185,0.01297221016066001,0.5903224990020052,0.017511367002604326,0.13067097332188293,0.2696675613383606,False,False
densenet121-res224-mimic_ch,ignore_uncertain,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034523,0.6536655071833614,0.006140749741939202,0.18948905991820844,0.36972949883646383,False,False
densenet121-res224-mimic_ch,ignore_uncertain,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.7326604580628382,0.14941554630881299,0.2645127400152998,0.39220081989759553,False,True
densenet121-res224-mimic_ch,ignore_uncertain,Lung Lesion,18416,543,17873,0.02948523023457863,0.5217371099693675,0.03397692469772237,0.1558315566571937,0.28676954438897995,False,False
densenet121-res224-mimic_ch,ignore_uncertain,Lung Opacity,18417,1407,17010,0.07639680729760548,0.626921117934306,0.11736583204822944,0.25461293783172567,0.38095323461558345,False,False
densenet121-res224-mimic_ch,ignore_uncertain,Edema,18424,9,18415,0.0004884932696482848,0.6333061815548919,0.0010840553202336439,0.20936183210518253,0.3823408433210821,False,True
densenet121-res224-mimic_ch,ignore_uncertain,Consolidation,18424,1033,17391,0.056068171949630916,0.5692809752437851,0.06349965723085496,0.20723691541465292,0.3473363001618243,False,True
densenet121-res224-mimic_ch,ignore_uncertain,Pneumonia,18424,240,18184,0.013026487190620929,0.6940489120472211,0.03046572386565738,0.1837643226460687,0.38269493984617886,False,True
densenet121-res224-mimic_ch,ignore_uncertain,Atelectasis,18424,1217,17207,0.06605514546244029,0.6227358980759155,0.090088423794045,0.2687534039055687,0.39089073150650244,False,True
densenet121-res224-mimic_ch,ignore_uncertain,Pneumothorax,18424,32,18392,0.0017368649587494573,0.5778293551544149,0.0028964892304132817,0.25619623371533456,0.4924401542045213,False,True
densenet121-res224-mimic_ch,ignore_uncertain,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7729307885373036,0.09109547854825943,0.22191434652346362,0.35359046374304487,False,True
densenet121-res224-mimic_ch,ignore_uncertain,Fracture,18424,239,18185,0.01297221016066001,0.6015107398046347,0.018471658322875045,0.14289006389484626,0.3067855324519214,False,False
densenet121-res224-nih,ignore_uncertain,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.7761887913058407,0.17052817407918128,0.08686518727638928,0.08100813293813137,False,True
